prompt,strategy,synthetic_ratio,classifier,metric,mean,std,count,mean_std,ci_lower,ci_upper,ci_95
weak,within_group,70,random_forest,f1_score,0.7909697020253142,0.038130962808829445,100,0.7910 ± 0.0381,0.7834960333147837,0.7984433707358448,"[0.7835, 0.7984]"
weak,within_group,70,random_forest,precision,0.6719055111809632,0.061932969914598526,100,0.6719 ± 0.0619,0.6597666490777019,0.6840443732842245,"[0.6598, 0.6840]"
weak,within_group,70,random_forest,recall,0.9676177658142664,0.02041672510197396,100,0.9676 ± 0.0204,0.9636160876942795,0.9716194439342533,"[0.9636, 0.9716]"
weak,within_group,70,svm,accuracy,0.9346635262449529,0.003728301960205174,100,0.9347 ± 0.0037,0.9339327790607527,0.935394273429153,"[0.9339, 0.9354]"
weak,within_group,70,svm,auc_pr,0.6067044403644437,0.03659817845344409,100,0.6067 ± 0.0366,0.5995311973875687,0.6138776833413188,"[0.5995, 0.6139]"
weak,within_group,70,svm,auc_roc,0.7220328237771164,0.03797484916152701,100,0.7220 ± 0.0380,0.7145897533414571,0.7294758942127757,"[0.7146, 0.7295]"
weak,within_group,70,svm,balanced_accuracy,0.674029460146553,0.018538284172350653,100,0.6740 ± 0.0185,0.6703959564487723,0.6776629638443337,"[0.6704, 0.6777]"
weak,within_group,70,svm,f1_score,0.514857303752741,0.04115113405152095,100,0.5149 ± 0.0412,0.5067916814786428,0.5229229260268391,"[0.5068, 0.5229]"
weak,within_group,70,svm,precision,0.9953399791314854,0.005956409242015574,100,0.9953 ± 0.0060,0.9941725229200503,0.9965074353429205,"[0.9942, 0.9965]"
weak,within_group,70,svm,recall,0.3482368775235532,0.03705669971506543,100,0.3482 ± 0.0371,0.34097376437940036,0.35549999066770605,"[0.3410, 0.3555]"
weak,within_group,80,random_forest,accuracy,0.9496527590847914,0.011690820241895718,100,0.9497 ± 0.0117,0.9473613583173799,0.9519441598522029,"[0.9474, 0.9519]"
weak,within_group,80,random_forest,auc_pr,0.9254806216384801,0.014483639533979503,100,0.9255 ± 0.0145,0.9226418282898201,0.9283194149871401,"[0.9226, 0.9283]"
weak,within_group,80,random_forest,auc_roc,0.9901528537825044,0.001910786343723934,100,0.9902 ± 0.0019,0.9897783396591345,0.9905273679058743,"[0.9898, 0.9905]"
weak,within_group,80,random_forest,balanced_accuracy,0.9555615373112007,0.007450924452058293,100,0.9556 ± 0.0075,0.9541011561185974,0.9570219185038041,"[0.9541, 0.9570]"
weak,within_group,80,random_forest,f1_score,0.7947448112522782,0.036694638615080426,100,0.7947 ± 0.0367,0.7875526620837224,0.8019369604208341,"[0.7876, 0.8019]"
weak,within_group,80,random_forest,precision,0.6792570697214679,0.05871534495978259,100,0.6793 ± 0.0587,0.6677488621093506,0.6907652773335853,"[0.6677, 0.6908]"
weak,within_group,80,random_forest,recall,0.9629475100942126,0.01847227202634172,100,0.9629 ± 0.0185,0.9593269447770497,0.9665680754113756,"[0.9593, 0.9666]"
weak,within_group,80,svm,accuracy,0.9321857335127861,0.0036355536158454325,100,0.9322 ± 0.0036,0.9314731650040804,0.9328983020214918,"[0.9315, 0.9329]"
weak,within_group,80,svm,auc_pr,0.5912573015953245,0.03397618547530046,100,0.5913 ± 0.0340,0.5845979692421657,0.5979166339484834,"[0.5846, 0.5979]"
weak,within_group,80,svm,auc_roc,0.710660720334608,0.034959169735168764,100,0.7107 ± 0.0350,0.703808723066515,0.7175127176027011,"[0.7038, 0.7175]"
weak,within_group,80,svm,balanced_accuracy,0.6615148796171677,0.018160744249146557,100,0.6615 ± 0.0182,0.657955373744335,0.6650743854900004,"[0.6580, 0.6651]"
weak,within_group,80,svm,f1_score,0.4868587481909418,0.04206318384774402,100,0.4869 ± 0.0421,0.478614364156784,0.49510313222509966,"[0.4786, 0.4951]"
weak,within_group,80,svm,precision,0.9959080630552214,0.005657544044673893,100,0.9959 ± 0.0057,0.9947991844224653,0.9970169416879775,"[0.9948, 0.9970]"
weak,within_group,80,svm,recall,0.3231763122476447,0.03632193118232625,100,0.3232 ± 0.0363,0.3160572137359088,0.3302954107593806,"[0.3161, 0.3303]"
weak,within_group,90,random_forest,accuracy,0.9526204576043068,0.01074493428741201,100,0.9526 ± 0.0107,0.9505144504839741,0.9547264647246395,"[0.9505, 0.9547]"
weak,within_group,90,random_forest,auc_pr,0.923515638462665,0.014331507445074733,100,0.9235 ± 0.0143,0.9207066630034304,0.9263246139218997,"[0.9207, 0.9263]"
weak,within_group,90,random_forest,auc_roc,0.9899628193230029,0.001959621039124683,100,0.9900 ± 0.0020,0.9895787335993345,0.9903469050466713,"[0.9896, 0.9903]"
