accuracy,precision,recall,f1,model_name,dataset_name,test_samples,positive_predictions,true_positives,experiment_timestamp,dataset_type,malicious_ratio,training_samples,feature_count,model_file,vectorizer_file
0.813570150779453,0.8688661763970132,0.813570150779453,0.8111018953924856,RandomForest,pure_strong_20pct,7826,2907,4366,2025-07-31T14:52:30.306079,pure_strong,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_20pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_20pct_RandomForest_vectorizer.joblib
0.933043700485561,0.9417238173024142,0.933043700485561,0.9332636688448486,SVM,pure_strong_20pct,7826,3846,4366,2025-07-31T14:54:03.444929,pure_strong,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_20pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_20pct_SVM_vectorizer.joblib
0.9518272425249169,0.9563269909642105,0.9518272425249169,0.9519835722705564,DeepLearning,pure_strong_20pct,7826,3999,4366,2025-07-31T14:54:41.325692,pure_strong,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_strong_20pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_strong_20pct_DeepLearning_vectorizer.joblib
0.5345003833375926,0.773246702287494,0.5345003833375926,0.44815610467616895,RandomForest,pure_weak_5pct,7826,723,4366,2025-07-31T14:54:50.115054,pure_weak,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_5pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_5pct_RandomForest_vectorizer.joblib
0.6850242780475339,0.81606481047164,0.6850242780475339,0.6644442412386903,SVM,pure_weak_5pct,7826,1901,4366,2025-07-31T14:56:14.395707,pure_weak,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_5pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_5pct_SVM_vectorizer.joblib
0.840914899054434,0.8827422486127082,0.840914899054434,0.8398330593372916,DeepLearning,pure_weak_5pct,7826,3125,4366,2025-07-31T14:56:43.445267,pure_weak,5pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_5pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_5pct_DeepLearning_vectorizer.joblib
0.6258625095834398,0.7973519541575926,0.6258625095834398,0.5871092704019464,RandomForest,pure_weak_10pct,7826,1438,4366,2025-07-31T14:56:52.414068,pure_weak,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_10pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_10pct_RandomForest_vectorizer.joblib
0.7933810375670841,0.8591881800240518,0.7933810375670841,0.7894702015054873,SVM,pure_weak_10pct,7826,2749,4366,2025-07-31T14:58:25.134591,pure_weak,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_10pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_10pct_SVM_vectorizer.joblib
0.8865320725785842,0.9095058050086621,0.8865320725785842,0.8865681032050228,DeepLearning,pure_weak_10pct,7826,3482,4366,2025-07-31T14:58:50.036811,pure_weak,10pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_10pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_10pct_DeepLearning_vectorizer.joblib
0.6572961921799131,0.8069431496161672,0.6572961921799131,0.6291963689004915,RandomForest,pure_weak_15pct,7826,1684,4366,2025-07-31T14:58:58.766769,pure_weak,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_15pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_15pct_RandomForest_vectorizer.joblib
0.8277536417071301,0.8760456739406551,0.8277536417071301,0.8260726326468129,SVM,pure_weak_15pct,7826,3018,4366,2025-07-31T15:00:32.431146,pure_weak,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_15pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_15pct_SVM_vectorizer.joblib
0.9157935088167646,0.9290342656932499,0.9157935088167646,0.9160208895740336,DeepLearning,pure_weak_15pct,7826,3713,4366,2025-07-31T15:00:58.469102,pure_weak,15pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_15pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_15pct_DeepLearning_vectorizer.joblib
0.7454638384870943,0.838463844674495,0.7454638384870943,0.7362967045751148,RandomForest,pure_weak_20pct,7826,2374,4366,2025-07-31T15:01:06.750341,pure_weak,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_20pct_RandomForest_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_20pct_RandomForest_vectorizer.joblib
0.8630207002300025,0.895303970612247,0.8630207002300025,0.8626280610441167,SVM,pure_weak_20pct,7826,3296,4366,2025-07-31T15:02:40.274800,pure_weak,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_20pct_SVM_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_20pct_SVM_vectorizer.joblib
0.929849220546895,0.9391283061119386,0.929849220546895,0.9300762926426656,DeepLearning,pure_weak_20pct,7826,3827,4366,2025-07-31T15:03:35.413625,pure_weak,20pct,10000,10000,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\models\pure_weak_20pct_DeepLearning_model.joblib,c:\Users\Tianyu Wang\Documents\Notebooks\cyberdata\data\batch6\phase7a_training\vectorizers\pure_weak_20pct_DeepLearning_vectorizer.joblib
