Testing_Method,Testing_Prompt,Testing_Strategy,Training_Ratio,Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,balanced_accuracy_mean,balanced_accuracy_std
gpt41mini,original,within_group,100,random_forest,0.9762999999999998,0.007821024296895624,0.8704099900493102,0.0664634198415403,0.9115,0.12014355448466857,0.8816089177910713,0.05329980859046411,0.9970575,0.0013352754800180322,0.977483476779183,0.008563991893324803,0.9475,0.05661662163494149
gpt41mini,original,within_group,50,svm,0.93685,0.004880411975707708,0.9949831787597745,0.010351335915497991,0.37049999999999994,0.04957450533235171,0.5380371500729633,0.053245651805453674,0.7976019444444444,0.0441595316343119,0.6886347257604919,0.059806609985674636,0.685138888888889,0.024736345266186854
gpt41mini,original,within_group,50,random_forest,0.95945,0.009859406408949896,0.7182616205560778,0.05456920295203097,0.9914999999999999,0.011367080817685327,0.831715578510325,0.03386624940553972,0.9967730555555555,0.0011851491641395135,0.9663976215793294,0.011242789005863181,0.9736944444444445,0.005028427957055606
gpt41mini,strong,cross_group,0,svm,0.9046999999999998,0.003388836161031662,0.8975,0.16383783524360282,0.052000000000000005,0.03205258836744128,0.09683037852447365,0.05633123902066208,0.5101705555555556,0.04189425214630269,0.2641553046711685,0.0550015659575455,0.5257222222222222,0.016094567024909332
gpt41mini,strong,cross_group,0,random_forest,0.95785,0.007995228840410162,0.7109953613169717,0.0417715891251723,0.983,0.010809352675491631,0.8243729164698935,0.026817224201567527,0.9911722222222222,0.0030283230905471165,0.9283527627765557,0.02409129485215651,0.9690277777777778,0.005337458808900759
gpt41mini,strong,cross_group,100,svm,0.9183,0.005573433223313696,1.0,0.0,0.18300000000000002,0.05573433223313692,0.30588050388498245,0.07838432672909622,0.7364472222222223,0.05709165284204444,0.5995494364838829,0.08101603303757961,0.5915,0.02786716611656846
gpt41mini,strong,cross_group,100,random_forest,0.9823999999999998,0.006931241249816513,0.9409809836735151,0.03978713225159883,0.883,0.08516856351099455,0.9076876633670098,0.040533656679581885,0.99441,0.0048276866255636385,0.9667526125770308,0.02509687059433457,0.938222222222222,0.041154394789940894
gpt41mini,strong,cross_group,50,svm,0.9199499999999998,0.007308790669641022,0.990908464295561,0.02637026959345562,0.201,0.07319045091583436,0.32844363985616243,0.10139975257202538,0.7121536111111111,0.05317568077218003,0.5595492623353671,0.06665156631487934,0.6004166666666666,0.03658500342535898
gpt41mini,strong,cross_group,50,random_forest,0.95845,0.009366654179925505,0.7143190517389734,0.04787511657635474,0.9839999999999998,0.016982963599783716,0.8268169529288727,0.0325742130033081,0.9938333333333332,0.0028953891107524788,0.9485693605988843,0.02414453550808389,0.9698055555555554,0.009493808043303416
gpt41mini,strong,within_group,0,svm,0.9122999999999999,0.00441409226526993,0.9522682178932177,0.06877265334919169,0.128,0.03941680111990718,0.22413882600654106,0.06199041466647183,0.6378580555555555,0.06499972758165035,0.3960509878978622,0.0715029986305209,0.5637222222222222,0.019955359537452713
gpt41mini,strong,within_group,0,random_forest,0.9586499999999999,0.008028075734570527,0.7126318520665424,0.04173067167248696,0.991,0.00852241626226791,0.8283124195300277,0.027050422387107458,0.9954472222222222,0.0013830585226927228,0.9376813513873884,0.02133793673122038,0.9730277777777777,0.004486189188754402
